episode,reward
567,[0.]
568,[0.]
569,[0.9993333]
570,[0.954]
571,[0.9993333]
572,[0.9773333]
573,[0.]
574,[0.9993333]
575,[0.98066664]
576,[0.80333334]
577,[0.]
578,[0.]
579,[0.]
580,[0.]
581,[0.]
582,[0.8333333]
583,[0.928]
584,[0.]
585,[0.]
586,[0.]
587,[0.9993333]
588,[0.90933335]
episode,reward
0,0.9993333
1,0.95533335
2,0.9993333
3,0.95533335
4,0.9586667
5,0.90933335
6,0.992
7,0.84466666
8,0.828
9,0.91533333
10,0.9113333
11,0.0
12,0.0
13,0.0
14,0.0
15,0.988
16,0.93266666
17,0.90466666
18,0.0
19,0.0
20,0.0
21,0.0
22,0.98933333
23,0.0
24,0.0
25,0.0
26,0.892
27,0.0
28,0.9993333
29,0.96533334
30,0.0
31,0.0
32,0.9993333
33,0.0
34,0.9993333
35,0.95533335
36,0.9586667
37,0.90933335
38,0.992
39,0.84466666
40,0.828
41,0.91533333
42,0.9113333
43,0.0
44,0.0
45,0.0
46,0.0
47,0.988
48,0.93266666
49,0.90466666
50,0.0
51,0.0
52,0.0
53,0.0
54,0.98933333
55,0.0
56,0.0
57,0.0
58,0.892
59,0.0
60,0.9993333
61,0.96533334
62,0.0
63,0.0
64,0.9993333
65,0.0
66,0.0
67,0.9993333
68,0.9993333
69,0.98933333
70,0.0
71,0.9826667
72,0.0
73,0.0
74,0.0
75,0.966
76,0.0
77,0.0
78,0.0
79,0.962
80,0.0
81,0.0
82,0.0
83,0.0
84,0.9266667
85,0.0
86,0.948
87,0.844
88,0.0
89,0.998
90,0.0
91,0.0
92,0.90933335
93,0.0
94,0.9993333
95,0.0
96,0.9993333
97,0.95533335
98,0.9586667
99,0.90933335
100,0.992
101,0.84466666
102,0.828
103,0.91533333
104,0.9113333
105,0.0
106,0.0
107,0.0
108,0.0
109,0.988
110,0.93266666
111,0.90466666
112,0.0
113,0.0
114,0.0
115,0.0
116,0.98933333
117,0.0
118,0.0
119,0.0
120,0.892
121,0.0
122,0.9993333
123,0.96533334
124,0.0
125,0.0
126,0.9993333
127,0.0
128,0.0
129,0.9993333
130,0.9993333
131,0.98933333
132,0.0
133,0.9826667
134,0.0
135,0.0
136,0.0
137,0.966
138,0.0
139,0.0
140,0.0
141,0.962
142,0.0
143,0.0
144,0.0
145,0.0
146,0.9266667
147,0.0
148,0.948
149,0.844
150,0.0
151,0.998
152,0.0
153,0.0
154,0.90933335
155,0.0
156,0.9993333
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.89933336
164,0.952
165,0.0
166,0.8413333
167,0.9766667
168,0.0
169,0.0
170,0.95066667
171,0.0
172,0.0
173,0.0
174,0.9266667
175,0.0
176,0.806
177,0.984
178,0.0
179,0.96
180,0.864
181,0.918
182,0.9993333
183,0.0
184,0.89666665
185,0.826
186,0.0
187,0.966
188,0.0
189,0.892
190,0.0
191,0.9993333
192,0.96533334
193,0.0
194,0.0
195,0.9993333
196,0.0
197,0.0
198,0.9993333
199,0.9993333
200,0.98933333
201,0.0
202,0.9826667
203,0.0
204,0.0
205,0.0
206,0.966
207,0.0
208,0.0
209,0.0
210,0.962
211,0.0
212,0.0
213,0.0
214,0.0
215,0.9266667
216,0.0
217,0.948
218,0.844
219,0.0
220,0.998
221,0.0
222,0.0
223,0.90933335
224,0.0
225,0.9993333
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.89933336
233,0.952
234,0.0
235,0.8413333
236,0.9766667
237,0.0
238,0.0
239,0.95066667
240,0.0
241,0.0
242,0.0
243,0.9266667
244,0.0
245,0.806
246,0.984
247,0.0
248,0.96
249,0.864
250,0.918
251,0.9993333
252,0.0
253,0.89666665
254,0.826
255,0.0
256,0.966
257,0.0
258,0.99
259,0.87733334
260,0.956
261,0.0
262,0.0
263,0.0
264,0.99333334
265,0.0
266,0.97466666
267,0.0
268,0.802
269,0.9433333
270,0.96933335
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.98466665
279,0.87866664
280,0.0
281,0.926
282,0.9993333
283,0.94733334
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.9993333
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.89933336
297,0.952
298,0.0
299,0.8413333
300,0.9766667
301,0.0
302,0.0
303,0.95066667
304,0.0
305,0.0
306,0.0
307,0.9266667
308,0.0
309,0.806
310,0.984
311,0.0
312,0.96
313,0.864
314,0.918
315,0.9993333
316,0.0
317,0.89666665
318,0.826
319,0.0
320,0.966
321,0.0
322,0.99
323,0.87733334
324,0.956
325,0.0
326,0.0
327,0.0
328,0.99333334
329,0.0
330,0.97466666
331,0.0
332,0.802
333,0.9433333
334,0.96933335
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.98466665
343,0.87866664
344,0.0
345,0.926
346,0.9993333
347,0.94733334
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.93733335
354,0.9993333
355,0.0
356,0.9946667
357,0.0
358,0.0
359,0.98733336
360,0.944
361,0.9993333
362,0.84
363,0.9073333
364,0.9433333
365,0.0
366,0.0
367,0.0
368,0.94533336
369,0.0
370,0.9993333
371,0.976
372,0.0
373,0.0
374,0.0
375,0.0
376,0.808
377,0.97933334
378,0.994
379,0.0
380,0.0
381,0.0
382,0.0
383,0.82133335
384,0.992
385,0.978
386,0.0
387,0.0
388,0.826
389,0.0
390,0.966
391,0.0
392,0.99
393,0.87733334
394,0.956
395,0.0
396,0.0
397,0.0
398,0.99333334
399,0.0
400,0.97466666
401,0.0
402,0.802
403,0.9433333
404,0.96933335
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.98466665
413,0.87866664
414,0.0
415,0.926
416,0.9993333
417,0.94733334
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.93733335
424,0.9993333
425,0.0
426,0.9946667
427,0.0
428,0.0
429,0.98733336
430,0.944
431,0.9993333
432,0.84
433,0.9073333
434,0.9433333
435,0.0
436,0.0
437,0.0
438,0.94533336
439,0.0
440,0.9993333
441,0.976
442,0.0
443,0.0
444,0.0
445,0.0
446,0.808
447,0.97933334
448,0.994
449,0.0
450,0.0
451,0.0
452,0.0
453,0.82133335
454,0.992
455,0.978
456,0.0
457,0.0
458,0.94133335
459,0.0
460,0.954
461,0.0
462,0.0
463,0.0
464,0.9446667
465,0.0
466,0.96133333
467,0.8066667
468,0.0
469,0.9586667
470,0.0
471,0.99866664
472,0.95533335
473,0.0
474,0.976
475,0.876
476,0.0
477,0.9993333
478,0.8146667
479,0.9993333
480,0.9993333
481,0.0
482,0.0
483,0.93333334
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.93733335
490,0.9993333
491,0.0
492,0.9946667
493,0.0
494,0.0
495,0.98733336
496,0.944
497,0.9993333
498,0.84
499,0.9073333
500,0.9433333
501,0.0
502,0.0
503,0.0
504,0.94533336
505,0.0
506,0.9993333
507,0.976
508,0.0
509,0.0
510,0.0
511,0.0
512,0.808
513,0.97933334
514,0.994
515,0.0
516,0.0
517,0.0
518,0.0
519,0.82133335
520,0.992
521,0.978
522,0.0
523,0.0
524,0.94133335
525,0.0
526,0.954
527,0.0
528,0.0
529,0.0
530,0.9446667
531,0.0
532,0.96133333
533,0.8066667
534,0.0
535,0.9586667
536,0.0
537,0.99866664
538,0.95533335
539,0.0
540,0.976
541,0.876
542,0.0
543,0.9993333
544,0.8146667
545,0.9993333
546,0.9993333
547,0.0
548,0.0
549,0.93333334
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.9993333
560,0.0
561,0.0
562,0.0
563,0.9353333
564,0.0
565,0.976
566,0.0
567,0.9993333
568,0.99666667
569,0.0
570,0.9993333
571,0.0
572,0.0
573,0.956
574,0.0
575,0.94133335
576,0.982
577,0.0
578,0.878
579,0.0
580,0.814
581,0.0
582,0.0
583,0.996
584,0.9993333
585,0.8553333
586,0.0
587,0.0
episode,reward
0,0.9993333
1,0.95533335
episode,reward
0,0.9993333
1,0.95533335
episode,reward
0,0.9993333
1,0.95533335
